Task,Phase,Category,Output,Priority,Status,Depends On,Notes
"Build Profile page","Phase 6","Player","Current user info","P1 Should","Backlog","Auth me endpoint","Player area"
"Build Owner Dashboard","Phase 6","Owner","Owner overview","P1 Should","Backlog","Owner APIs","Owner area"
"Build My Clubs page","Phase 6","Owner","Owner club list","P1 Should","Backlog","Owner clubs API","Owner area"
"Build Club Editor page","Phase 6","Owner","Create/edit club form","P1 Should","Backlog","Owner club APIs","Owner area"
"Build Courts Management page","Phase 6","Owner","Manage courts","P1 Should","Backlog","Owner court APIs","Owner area"
"Build Reservations Calendar placeholder","Phase 6","Owner","Owner calendar base","P1 Should","Backlog","Owner bookings API","Placeholder acceptable"
"Build Pending Clubs page","Phase 6","Admin","Approve/reject clubs","P1 Should","Backlog","Admin club APIs","Admin area"
"Add authentication service tests","Phase 7","Testing","Register/login logic tested","P0 Must","Backlog","Auth foundation","Backend"
"Add booking overlap unit tests","Phase 7","Testing","Conflict logic tested","P0 Must","Backlog","Booking service","Backend"
"Add club ownership tests","Phase 7","Testing","Owner authorization tested","P0 Must","Backlog","Owner endpoints","Backend"
"Add controller integration tests","Phase 7","Testing","Main API endpoints tested","P1 Should","Backlog","Controllers","Backend"
"Add Testcontainers PostgreSQL config","Phase 7","Testing","Real DB integration tests","P0 Must","Backlog","Backend setup","PostgreSQL"
"Add booking concurrency test","Phase 7","Testing","Race condition protection tested","P0 Must","Backlog","Booking endpoint","Backend"
"Add login form validation test","Phase 7","Testing","Login validation tested","P1 Should","Backlog","Login page","Frontend"
"Add protected route test","Phase 7","Testing","Auth routing tested","P1 Should","Backlog","ProtectedRoute","Frontend"
"Add club card rendering test","Phase 7","Testing","Club UI component tested","P1 Should","Backlog","Club card","Frontend"
"Add booking form validation test","Phase 7","Testing","Booking validation tested","P1 Should","Backlog","Booking form","Frontend"
"Complete root README","Phase 7","Documentation","Setup, Docker, env, accounts","P0 Must","Backlog","Foundation","Required"
"Add backend setup docs","Phase 7","Documentation","Backend run/test instructions","P0 Must","Backlog","Backend setup","Required"
"Add frontend setup docs","Phase 7","Documentation","Frontend run/test instructions","P0 Must","Backlog","Frontend setup","Required"
"Add Docker instructions","Phase 7","Documentation","Compose usage","P0 Must","Backlog","Docker Compose","Required"
"Add environment docs","Phase 7","Documentation","Required env variables","P0 Must","Backlog","Env examples","Required"
"Add endpoint table","Phase 7","Documentation","Implemented APIs","P0 Must","Backlog","Backend endpoints","Required"
"Add architecture document","Phase 7","Documentation","docs/architecture.md","P0 Must","Backlog","Architecture decisions","Required"
"Add default dev accounts","Phase 7","Documentation","Admin, owner, player credentials","P1 Should","Backlog","Seed profile","Dev only"
